task_id,repo,condition,model,pred_index,actor,name,description,evidence_paths,matched_gold,best_similarity,path_coverage,majority_category,unanimous,has_unique_majority,annotator_11_category,annotator_11_confidence,annotator_11_supported,annotator_11_path_grounded,annotator_11_needs_discussion,annotator_11_notes,annotator_12_category,annotator_12_confidence,annotator_12_supported,annotator_12_path_grounded,annotator_12_needs_discussion,annotator_12_notes,annotator_13_category,annotator_13_confidence,annotator_13_supported,annotator_13_path_grounded,annotator_13_needs_discussion,annotator_13_notes
RameshMF__library-management-system::random_code_same_budget::deepseek-v4-pro::2,RameshMF__library-management-system,random_code_same_budget,deepseek-v4-pro,2,Librarian,Add New Book,Register a new book in the library catalogue.,src/main/java/net/javaguides/lms/controller/BookController.java,Register library user,0.4333,,matched_supported_goal,True,True,matched_supported_goal,medium,True,True,False,BookController supports adding a new book.,matched_supported_goal,medium,True,True,False,BookController supports adding a new book.,matched_supported_goal,medium,True,True,False,BookController supports adding a new book.
RameshMF__library-management-system::random_code_same_budget::deepseek-v4-pro::3,RameshMF__library-management-system,random_code_same_budget,deepseek-v4-pro,3,Librarian,Update Book,Modify the details of an existing book.,src/main/java/net/javaguides/lms/controller/BookController.java,Borrow book,0.3333,,matched_supported_goal,True,True,matched_supported_goal,medium,True,True,False,BookController supports updating a book.,matched_supported_goal,medium,True,True,False,BookController supports updating a book.,matched_supported_goal,medium,True,True,False,BookController supports updating a book.
RameshMF__library-management-system::random_code_same_budget::deepseek-v4-pro::4,RameshMF__library-management-system,random_code_same_budget,deepseek-v4-pro,4,Librarian,Delete Book,Remove a book from the catalogue.,src/main/java/net/javaguides/lms/controller/BookController.java,Manage book catalog,0.3581,0.1,matched_supported_goal,True,True,matched_supported_goal,medium,True,True,False,BookController supports deleting a book.,matched_supported_goal,medium,True,True,False,BookController supports deleting a book.,matched_supported_goal,medium,True,True,False,BookController supports deleting a book.
RameshMF__library-management-system::random_code_same_budget::deepseek-v4-pro::5,RameshMF__library-management-system,random_code_same_budget,deepseek-v4-pro,5,Librarian,Borrow Book,Check out a book to a registered library user.,src/main/java/net/javaguides/lms/controller/BookController.java | src/main/java/net/javaguides/lms/service/BookService.java,Borrow book,1.0,0.4,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Controller/service directly support borrowing a book.,matched_supported_goal,high,True,True,False,Controller/service directly support borrowing a book.,matched_supported_goal,high,True,True,False,Controller/service directly support borrowing a book.
RameshMF__library-management-system::random_code_same_budget::deepseek-v4-pro::6,RameshMF__library-management-system,random_code_same_budget,deepseek-v4-pro,6,Librarian,Return Book,Process the return of a borrowed book.,src/main/java/net/javaguides/lms/controller/BookController.java | src/main/java/net/javaguides/lms/service/BookService.java,Return book,1.0,0.5,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Controller/service directly support returning a book.,matched_supported_goal,high,True,True,False,Controller/service directly support returning a book.,matched_supported_goal,high,True,True,False,Controller/service directly support returning a book.
RameshMF__library-management-system::random_code_same_budget::deepseek-v4-pro::7,RameshMF__library-management-system,random_code_same_budget,deepseek-v4-pro,7,Librarian,Register New User,Create a new library user account.,src/main/java/net/javaguides/lms/controller/UserController.java,Register library user,0.5167,0.25,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,UserController directly supports registering a new user.,matched_supported_goal,high,True,True,False,UserController directly supports registering a new user.,matched_supported_goal,high,True,True,False,UserController directly supports registering a new user.
RameshMF__library-management-system::full_selected_context::deepseek-v4-pro::0,RameshMF__library-management-system,full_selected_context,deepseek-v4-pro,0,Librarian,View Books,Librarian retrieves a list of all books or a specific book's details.,/api/books (GET) | /api/books/{id} (GET) | BookController.getAllBooks() | BookController.getBook(),View book detail,0.3692,0.0,near_miss_or_partial_workflow,True,True,near_miss_or_partial_workflow,medium,True,False,False,"Evidence combines list and detail retrieval, so the generated use case merges two distinct workflows rather than one clean goal.",near_miss_or_partial_workflow,medium,True,False,False,"Evidence combines list and detail retrieval, so the generated use case merges two distinct workflows rather than one clean goal.",near_miss_or_partial_workflow,medium,True,False,False,"Evidence combines list and detail retrieval, so the generated use case merges two distinct workflows rather than one clean goal."
RameshMF__library-management-system::full_selected_context::deepseek-v4-pro::1,RameshMF__library-management-system,full_selected_context,deepseek-v4-pro,1,Librarian,Add Book,Librarian adds a new book to the library catalog.,/api/books (POST) | BookController.addBook(),Register library user,0.3857,,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,POST /api/books directly supports adding a book.,matched_supported_goal,medium,True,True,False,POST /api/books directly supports adding a book.,matched_supported_goal,medium,True,True,False,POST /api/books directly supports adding a book.
RameshMF__library-management-system::full_selected_context::deepseek-v4-pro::2,RameshMF__library-management-system,full_selected_context,deepseek-v4-pro,2,Librarian,Update Book,Librarian modifies an existing book's information.,/api/books/{id} (PUT) | BookController.updateBook(),Manage book catalog,0.3353,,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,PUT /api/books/{id} directly supports updating a book.,matched_supported_goal,medium,True,True,False,PUT /api/books/{id} directly supports updating a book.,matched_supported_goal,medium,True,True,False,PUT /api/books/{id} directly supports updating a book.
RameshMF__library-management-system::full_selected_context::deepseek-v4-pro::3,RameshMF__library-management-system,full_selected_context,deepseek-v4-pro,3,Librarian,Delete Book,Librarian removes a book from the catalog.,/api/books/{id} (DELETE) | BookController.deleteBook(),Manage book catalog,0.3903,0.0,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,DELETE /api/books/{id} directly supports deleting a book.,matched_supported_goal,medium,True,True,False,DELETE /api/books/{id} directly supports deleting a book.,matched_supported_goal,medium,True,True,False,DELETE /api/books/{id} directly supports deleting a book.
RameshMF__library-management-system::full_selected_context::deepseek-v4-pro::4,RameshMF__library-management-system,full_selected_context,deepseek-v4-pro,4,Librarian,View Users,Librarian retrieves a list of all library users.,/api/users (GET) | UserController.getAllUsers(),List library users,0.6263,0.0,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,GET /api/users directly supports viewing users.,matched_supported_goal,medium,True,True,False,GET /api/users directly supports viewing users.,matched_supported_goal,medium,True,True,False,GET /api/users directly supports viewing users.
RameshMF__library-management-system::full_selected_context::deepseek-v4-pro::5,RameshMF__library-management-system,full_selected_context,deepseek-v4-pro,5,Librarian,Add User,Librarian registers a new library user.,/api/users (POST) | UserController.addUser(),Register library user,0.5762,0.0,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,POST /api/users directly supports adding a user.,matched_supported_goal,medium,True,True,False,POST /api/users directly supports adding a user.,matched_supported_goal,medium,True,True,False,POST /api/users directly supports adding a user.
RameshMF__library-management-system::full_selected_context::deepseek-v4-pro::6,RameshMF__library-management-system,full_selected_context,deepseek-v4-pro,6,Librarian,Borrow Book,Librarian records a book borrowing by a user.,/api/books/{bookId}/borrow/{userId} (POST) | BookController.borrowBook() | BookService.borrowBook(),Borrow book,1.0,0.0,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Borrow endpoint and service directly support the borrow workflow.,matched_supported_goal,high,True,True,False,Borrow endpoint and service directly support the borrow workflow.,matched_supported_goal,high,True,True,False,Borrow endpoint and service directly support the borrow workflow.
RameshMF__library-management-system::full_selected_context::deepseek-v4-pro::7,RameshMF__library-management-system,full_selected_context,deepseek-v4-pro,7,Librarian,Return Book,Librarian processes a book return.,/api/books/{bookId}/return (POST) | BookController.returnBook() | BookService.returnBook(),Return book,1.0,0.0,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Return endpoint and service directly support the return workflow.,matched_supported_goal,high,True,True,False,Return endpoint and service directly support the return workflow.,matched_supported_goal,high,True,True,False,Return endpoint and service directly support the return workflow.
RameshMF__library-management-system::oracle_upper_bound::deepseek-v4-pro::0,RameshMF__library-management-system,oracle_upper_bound,deepseek-v4-pro,0,Librarian,List books,Librarian retrieves a list of all books in the library.,src/main/java/net/javaguides/lms/controller/BookController.java,List library users,0.4913,,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Controller directly supports listing books.,matched_supported_goal,medium,True,True,False,Controller directly supports listing books.,matched_supported_goal,medium,True,True,False,Controller directly supports listing books.
RameshMF__library-management-system::oracle_upper_bound::deepseek-v4-pro::1,RameshMF__library-management-system,oracle_upper_bound,deepseek-v4-pro,1,Librarian,Add book,Librarian adds a new book to the library catalog.,src/main/java/net/javaguides/lms/controller/BookController.java | src/main/java/net/javaguides/lms/service/BookService.java | src/main/java/net/javaguides/lms/entity/Book.java,Borrow book,0.3333,,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Controller/service/entity directly support adding books.,matched_supported_goal,medium,True,True,False,Controller/service/entity directly support adding books.,matched_supported_goal,medium,True,True,False,Controller/service/entity directly support adding books.
RameshMF__library-management-system::oracle_upper_bound::deepseek-v4-pro::2,RameshMF__library-management-system,oracle_upper_bound,deepseek-v4-pro,2,Librarian,Update book,Librarian modifies details of an existing book.,src/main/java/net/javaguides/lms/controller/BookController.java | src/main/java/net/javaguides/lms/service/BookService.java,Manage book catalog,0.3333,0.2,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Controller/service directly support updating books.,matched_supported_goal,medium,True,True,False,Controller/service directly support updating books.,matched_supported_goal,medium,True,True,False,Controller/service directly support updating books.
RameshMF__library-management-system::oracle_upper_bound::deepseek-v4-pro::3,RameshMF__library-management-system,oracle_upper_bound,deepseek-v4-pro,3,Librarian,Remove book,Librarian removes a book from the library catalog.,src/main/java/net/javaguides/lms/controller/BookController.java | src/main/java/net/javaguides/lms/service/BookService.java,Borrow book,0.3333,,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Controller/service directly support removing books.,matched_supported_goal,medium,True,True,False,Controller/service directly support removing books.,matched_supported_goal,medium,True,True,False,Controller/service directly support removing books.
RameshMF__library-management-system::oracle_upper_bound::deepseek-v4-pro::4,RameshMF__library-management-system,oracle_upper_bound,deepseek-v4-pro,4,Librarian,Borrow book,Librarian records that a user has borrowed a book.,src/main/java/net/javaguides/lms/controller/BookController.java | src/main/java/net/javaguides/lms/service/BookService.java | src/main/java/net/javaguides/lms/entity/Book.java | src/main/java/net/javaguides/lms/entity...,Borrow book,1.0,0.8,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Evidence directly supports borrowing books.,matched_supported_goal,high,True,True,False,Evidence directly supports borrowing books.,matched_supported_goal,high,True,True,False,Evidence directly supports borrowing books.
RameshMF__library-management-system::oracle_upper_bound::deepseek-v4-pro::5,RameshMF__library-management-system,oracle_upper_bound,deepseek-v4-pro,5,Librarian,Return book,Librarian records the return of a borrowed book.,src/main/java/net/javaguides/lms/controller/BookController.java | src/main/java/net/javaguides/lms/service/BookService.java | src/main/java/net/javaguides/lms/entity/Book.java,Return book,1.0,0.75,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Evidence directly supports returning books.,matched_supported_goal,high,True,True,False,Evidence directly supports returning books.,matched_supported_goal,high,True,True,False,Evidence directly supports returning books.
RameshMF__library-management-system::oracle_upper_bound::deepseek-v4-pro::6,RameshMF__library-management-system,oracle_upper_bound,deepseek-v4-pro,6,Librarian,List users,Librarian retrieves a list of all registered library users.,src/main/java/net/javaguides/lms/controller/UserController.java | src/main/java/net/javaguides/lms/service/UserService.java,List library users,0.6667,0.6667,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Controller/service directly support listing users.,matched_supported_goal,high,True,True,False,Controller/service directly support listing users.,matched_supported_goal,high,True,True,False,Controller/service directly support listing users.
RameshMF__library-management-system::oracle_upper_bound::deepseek-v4-pro::7,RameshMF__library-management-system,oracle_upper_bound,deepseek-v4-pro,7,Librarian,Add user,Librarian registers a new library user.,src/main/java/net/javaguides/lms/controller/UserController.java | src/main/java/net/javaguides/lms/service/UserService.java | src/main/java/net/javaguides/lms/entity/User.java,Register library user,0.4333,0.75,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Controller/service/entity directly support adding users.,matched_supported_goal,medium,True,True,False,Controller/service/entity directly support adding users.,matched_supported_goal,medium,True,True,False,Controller/service/entity directly support adding users.
SkyCascade__SkyLearn::readme_only::deepseek-v4-pro::0,SkyCascade__SkyLearn,readme_only,deepseek-v4-pro,0,Admin,Manage student and lecturer accounts,"Admin can add, update, and delete student and lecturer records in the system.",README.md,Manage profile and password,0.3,0.0,readme_overgeneralization,False,True,matched_supported_goal,medium,True,True,False,README supports admin management of student and lecturer accounts.,readme_overgeneralization,medium,False,False,False,README supports admin management of student and lecturer accounts.,readme_overgeneralization,medium,False,False,False,README supports admin management of student and lecturer accounts.
SkyCascade__SkyLearn::readme_only::deepseek-v4-pro::1,SkyCascade__SkyLearn,readme_only,deepseek-v4-pro,1,Admin,Manage academic sessions and semesters,Admin manages the academic session/year and semester structures used throughout the system.,README.md,Manage news and events,0.6,0.1429,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,README plus similarity support session/semester management.,matched_supported_goal,medium,True,True,False,README plus similarity support session/semester management.,matched_supported_goal,medium,True,True,False,README plus similarity support session/semester management.
SkyCascade__SkyLearn::readme_only::deepseek-v4-pro::2,SkyCascade__SkyLearn,readme_only,deepseek-v4-pro,2,Student,Add or drop courses,Student can self-enroll in or withdraw from available courses.,README.md,Register and drop courses,0.4,0.1429,matched_supported_goal,True,True,matched_supported_goal,medium,True,True,False,README supports add/drop course workflow.,matched_supported_goal,medium,True,True,False,README supports add/drop course workflow.,matched_supported_goal,medium,True,True,False,README supports add/drop course workflow.
SkyCascade__SkyLearn::readme_only::deepseek-v4-pro::3,SkyCascade__SkyLearn,readme_only,deepseek-v4-pro,3,Lecturer,Submit student scores,"Lecturer enters scores for attendance, mid-term exam, final exam, and assignments, and the system calculates totals, averages, points, and grades automatically.",README.md,Submit student scores,1.0,0.1667,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,README directly supports lecturer score submission.,matched_supported_goal,high,True,True,False,README directly supports lecturer score submission.,matched_supported_goal,high,True,True,False,README directly supports lecturer score submission.
SkyCascade__SkyLearn::readme_only::deepseek-v4-pro::4,SkyCascade__SkyLearn,readme_only,deepseek-v4-pro,4,Student,View assessment and grade results,"Student accesses personalized assessment result and grade result pages, seeing scores, grades, and comments per course.",README.md,View grade and assessment results,1.0,0.1667,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,README directly supports assessment and grade-result viewing.,matched_supported_goal,high,True,True,False,README directly supports assessment and grade-result viewing.,matched_supported_goal,high,True,True,False,README directly supports assessment and grade-result viewing.
SkyCascade__SkyLearn::readme_only::deepseek-v4-pro::5,SkyCascade__SkyLearn,readme_only,deepseek-v4-pro,5,Student,Generate registration slip and grade result PDF,Student can generate downloadable PDFs of their registration slip and grade result.,README.md,Download registration form and result sheet,0.3,0.2,matched_supported_goal,True,True,matched_supported_goal,medium,True,True,False,README supports generating registration/result PDFs.,matched_supported_goal,medium,True,True,False,README supports generating registration/result PDFs.,matched_supported_goal,medium,True,True,False,README supports generating registration/result PDFs.
SkyCascade__SkyLearn::readme_only::deepseek-v4-pro::6,SkyCascade__SkyLearn,readme_only,deepseek-v4-pro,6,Student,Take quiz and receive feedback,"Student completes a quiz with randomized multiple-choice or true/false questions, receives immediate or end-of-quiz feedback, and can review past scores and category success rates.",README.md,Take quiz and continue incomplete quiz,0.4286,0.1667,matched_supported_goal,True,True,matched_supported_goal,medium,True,True,False,README supports quiz-taking with feedback/resume behavior.,matched_supported_goal,medium,True,True,False,README supports quiz-taking with feedback/resume behavior.,matched_supported_goal,medium,True,True,False,README supports quiz-taking with feedback/resume behavior.
SkyCascade__SkyLearn::readme_only::deepseek-v4-pro::7,SkyCascade__SkyLearn,readme_only,deepseek-v4-pro,7,Lecturer,Review and mark essay quiz answers,"Lecturer with view_sittings permission uses the marking page to filter completed quizzes by quiz or user, and marks essay question responses.",README.md,Review and mark quiz sittings,0.5714,0.1667,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,README supports reviewing and marking quiz sittings/essay answers.,matched_supported_goal,medium,True,True,False,README supports reviewing and marking quiz sittings/essay answers.,matched_supported_goal,medium,True,True,False,README supports reviewing and marking quiz sittings/essay answers.
SkyCascade__SkyLearn::file_tree_only::deepseek-v4-pro::0,SkyCascade__SkyLearn,file_tree_only,deepseek-v4-pro,0,Student,Register account,A new user creates a student or instructor account via the registration form.,accounts/views.py | accounts/forms.py | accounts/urls.py | accounts/models.py,Register account,1.0,0.6667,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Accounts views/forms/urls/models directly support registration.,matched_supported_goal,high,True,True,False,Accounts views/forms/urls/models directly support registration.,matched_supported_goal,high,True,True,False,Accounts views/forms/urls/models directly support registration.
SkyCascade__SkyLearn::file_tree_only::deepseek-v4-pro::1,SkyCascade__SkyLearn,file_tree_only,deepseek-v4-pro,1,Student,Browse and enroll in course,"Student searches or browses available courses and enrolls, possibly through a payment step.",course/views.py | course/urls.py | payments/views.py | search/views.py,Pay through payment gateway,0.2277,,matched_goal_missing_or_wrong_path,True,True,matched_goal_missing_or_wrong_path,medium,True,False,False,"Browsing/enrollment is plausible from course/search/payment files, but the combined workflow is not directly grounded.",matched_goal_missing_or_wrong_path,medium,True,False,False,"Browsing/enrollment is plausible from course/search/payment files, but the combined workflow is not directly grounded.",matched_goal_missing_or_wrong_path,medium,True,False,False,"Browsing/enrollment is plausible from course/search/payment files, but the combined workflow is not directly grounded."
SkyCascade__SkyLearn::file_tree_only::deepseek-v4-pro::2,SkyCascade__SkyLearn,file_tree_only,deepseek-v4-pro,2,Instructor,Create course,"Instructor creates a new course with title, description, and settings.",course/views.py | course/forms.py | course/urls.py,Upload course documentation,0.25,,matched_supported_goal,True,True,matched_supported_goal,medium,True,True,False,Course views/forms/urls directly support course creation.,matched_supported_goal,medium,True,True,False,Course views/forms/urls directly support course creation.,matched_supported_goal,medium,True,True,False,Course views/forms/urls directly support course creation.
SkyCascade__SkyLearn::file_tree_only::deepseek-v4-pro::3,SkyCascade__SkyLearn,file_tree_only,deepseek-v4-pro,3,Instructor,Create quiz,Instructor creates a quiz with questions and answers for a course.,quiz/views.py | quiz/forms.py | quiz/urls.py | quiz/models.py,View quiz progress,0.25,,matched_supported_goal,True,True,matched_supported_goal,medium,True,True,False,Quiz views/forms/urls/models directly support quiz creation.,matched_supported_goal,medium,True,True,False,Quiz views/forms/urls/models directly support quiz creation.,matched_supported_goal,medium,True,True,False,Quiz views/forms/urls/models directly support quiz creation.
SkyCascade__SkyLearn::file_tree_only::deepseek-v4-pro::4,SkyCascade__SkyLearn,file_tree_only,deepseek-v4-pro,4,Student,Take quiz,Student answers quiz questions and receives immediate or delayed results.,quiz/views.py | quiz/urls.py | result/views.py | result/urls.py,Take quiz and continue incomplete quiz,0.4,0.3333,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Quiz and result views/urls directly support taking quizzes.,matched_supported_goal,high,True,True,False,Quiz and result views/urls directly support taking quizzes.,matched_supported_goal,high,True,True,False,Quiz and result views/urls directly support taking quizzes.
SkyCascade__SkyLearn::file_tree_only::deepseek-v4-pro::5,SkyCascade__SkyLearn,file_tree_only,deepseek-v4-pro,5,Student,View quiz results,Student reviews their score and possibly detailed answer feedback.,result/views.py | result/urls.py | result/models.py,View grade and assessment results,0.5,0.5,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Result views/urls/models directly support viewing quiz results.,matched_supported_goal,high,True,True,False,Result views/urls/models directly support viewing quiz results.,matched_supported_goal,high,True,True,False,Result views/urls/models directly support viewing quiz results.
SkyCascade__SkyLearn::file_tree_only::deepseek-v4-pro::6,SkyCascade__SkyLearn,file_tree_only,deepseek-v4-pro,6,Student,Search courses,User searches for courses by keyword and filters results.,search/views.py | search/urls.py | search/models.py,Manage courses,0.3727,0.0,matched_supported_goal,True,True,matched_supported_goal,medium,True,True,False,Search views/urls/models directly support course search.,matched_supported_goal,medium,True,True,False,Search views/urls/models directly support course search.,matched_supported_goal,medium,True,True,False,Search views/urls/models directly support course search.
SkyCascade__SkyLearn::file_tree_only::deepseek-v4-pro::7,SkyCascade__SkyLearn,file_tree_only,deepseek-v4-pro,7,Admin,Manage platform content,"Admin uses the Django admin interface to manage users, courses, quizzes, and payments.",accounts/admin.py | course/admin.py | quiz/admin.py | payments/admin.py | result/admin.py | search/admin.py,Manage semesters,0.25,,framework_or_boilerplate_noise,True,True,framework_or_boilerplate_noise,medium,False,False,False,Admin.py registrations alone do not ground a concrete admin workflow beyond Django admin scaffolding.,framework_or_boilerplate_noise,medium,False,False,False,Admin.py registrations alone do not ground a concrete admin workflow beyond Django admin scaffolding.,framework_or_boilerplate_noise,medium,False,False,False,Admin.py registrations alone do not ground a concrete admin workflow beyond Django admin scaffolding.
SkyCascade__SkyLearn::readme_plus_code::deepseek-v4-pro::0,SkyCascade__SkyLearn,readme_plus_code,deepseek-v4-pro,0,Admin,View Dashboard Analytics,Admin views school demographic counts and recent activity logs on a restricted dashboard.,core/urls.py (dashboard/) | core/views.py (dashboard_view) | accounts/models.py,View admin dashboard analytics,0.75,0.6,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Dashboard route/view directly support analytics viewing.,matched_supported_goal,high,True,True,False,Dashboard route/view directly support analytics viewing.,matched_supported_goal,high,True,True,False,Dashboard route/view directly support analytics viewing.
SkyCascade__SkyLearn::readme_plus_code::deepseek-v4-pro::1,SkyCascade__SkyLearn,readme_plus_code,deepseek-v4-pro,1,Admin,Manage Student Accounts,"Admin adds, updates, or deletes student accounts through dedicated administration pages.","accounts/urls.py (student_list, add_student, student_edit, student_delete) | accounts/views.py (StudentListView, student_add_view, edit_student, delete_student)",Manage parents,0.3,0.4,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Student account routes/views directly support account management.,matched_supported_goal,high,True,True,False,Student account routes/views directly support account management.,matched_supported_goal,high,True,True,False,Student account routes/views directly support account management.
SkyCascade__SkyLearn::readme_plus_code::deepseek-v4-pro::2,SkyCascade__SkyLearn,readme_plus_code,deepseek-v4-pro,2,Admin,Manage Lecturer Accounts,"Admin adds, updates, or deletes lecturer (staff) accounts.","accounts/urls.py (lecturer_list, add_lecturer, staff_edit, lecturer_delete) | accounts/views.py (staff_add_view, edit_staff, delete_staff)",Manage semesters,0.35,0.0,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Lecturer account routes/views directly support staff account management.,matched_supported_goal,medium,True,True,False,Lecturer account routes/views directly support staff account management.,matched_supported_goal,medium,True,True,False,Lecturer account routes/views directly support staff account management.
SkyCascade__SkyLearn::readme_plus_code::deepseek-v4-pro::3,SkyCascade__SkyLearn,readme_plus_code,deepseek-v4-pro,3,Lecturer,Submit Student Scores,"Lecturer enters attendance, mid exam, final exam, and assignment scores; the system automatically calculates totals, averages, points, and grades.","result/urls.py (manage-score/, manage-score/<id>/) | result/views.py (add_score, add_score_for) | result/models.py",Submit student scores,1.0,0.5,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Result routes/views/models directly support score submission.,matched_supported_goal,high,True,True,False,Result routes/views/models directly support score submission.,matched_supported_goal,high,True,True,False,Result routes/views/models directly support score submission.
SkyCascade__SkyLearn::readme_plus_code::deepseek-v4-pro::4,SkyCascade__SkyLearn,readme_plus_code,deepseek-v4-pro,4,Student,Register or Drop Courses,Student adds courses to their schedule or drops previously registered courses.,"course/urls.py (course_registration, course_drop) | course/views.py",Register and drop courses,0.75,0.2857,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Course registration/drop routes/views directly support the workflow.,matched_supported_goal,high,True,True,False,Course registration/drop routes/views directly support the workflow.,matched_supported_goal,high,True,True,False,Course registration/drop routes/views directly support the workflow.
SkyCascade__SkyLearn::readme_plus_code::deepseek-v4-pro::5,SkyCascade__SkyLearn,readme_plus_code,deepseek-v4-pro,5,Student,View Assessment and Grade Results,"Student views their semester-wise assessment results and final grade results, with an option to generate a PDF slip.","result/urls.py (grade/, assessment/, result/print/<id>/) | result/views.py (grade_result, assessment_result, result_sheet_pdf_view)",View grade and assessment results,1.0,0.3333,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Grade/assessment/result-print routes directly support results and PDF viewing.,matched_supported_goal,high,True,True,False,Grade/assessment/result-print routes directly support results and PDF viewing.,matched_supported_goal,high,True,True,False,Grade/assessment/result-print routes directly support results and PDF viewing.
SkyCascade__SkyLearn::readme_plus_code::deepseek-v4-pro::6,SkyCascade__SkyLearn,readme_plus_code,deepseek-v4-pro,6,Lecturer,Create Quiz with Multiple-Choice,Lecturer creates a new quiz for a course and adds multiple-choice questions with answer options.,"quiz/urls.py (quiz_create, mc_create) | quiz/views.py (QuizCreateView, MCQuestionCreate) | quiz/forms.py (QuizAddForm, MCQuestionForm)",Create and manage quizzes,0.5,0.375,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Quiz create and MC-question routes/views/forms directly support quiz creation.,matched_supported_goal,high,True,True,False,Quiz create and MC-question routes/views/forms directly support quiz creation.,matched_supported_goal,high,True,True,False,Quiz create and MC-question routes/views/forms directly support quiz creation.
SkyCascade__SkyLearn::readme_plus_code::deepseek-v4-pro::7,SkyCascade__SkyLearn,readme_plus_code,deepseek-v4-pro,7,Student,Take Quiz and View Results,"Student takes a quiz with randomized question order, gets immediate feedback, and can review past attempts.","quiz/urls.py (quiz_take, quiz_progress) | quiz/views.py (QuizTake, QuizUserProgressView) | quiz/models.py (Sitting, Progress)",Take quiz and continue incomplete quiz,0.4286,0.5,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Quiz take/progress routes/views directly support taking quizzes and viewing progress.,matched_supported_goal,high,True,True,False,Quiz take/progress routes/views directly support taking quizzes and viewing progress.,matched_supported_goal,high,True,True,False,Quiz take/progress routes/views directly support taking quizzes and viewing progress.
SkyCascade__SkyLearn::random_code_same_budget::deepseek-v4-pro::0,SkyCascade__SkyLearn,random_code_same_budget,deepseek-v4-pro,0,Lecturer,Manage Programs,"A lecturer creates, edits, deletes, and filters academic programs.","course/views.py (ProgramFilterView, program_add, program_edit, program_delete) | course/urls.py (programs, add_program, edit_program, program_delete)",Manage semesters,1.0,0.0,matched_supported_goal,True,True,matched_supported_goal,medium,True,True,False,Program management routes/views directly support creating and editing programs.,matched_supported_goal,high,True,True,False,Program management routes/views directly support creating and editing programs.,matched_supported_goal,high,True,True,False,Program management routes/views directly support creating and editing programs.
SkyCascade__SkyLearn::random_code_same_budget::deepseek-v4-pro::1,SkyCascade__SkyLearn,random_code_same_budget,deepseek-v4-pro,1,Lecturer,Manage Courses,"A lecturer creates, edits, and deletes courses within a program.","course/urls.py (course_add, edit_course, delete_course)",Manage students,1.0,0.0,matched_supported_goal,True,True,matched_supported_goal,medium,True,True,False,Course add/edit/delete routes directly support course management.,matched_supported_goal,high,True,True,False,Course add/edit/delete routes directly support course management.,matched_supported_goal,high,True,True,False,Course add/edit/delete routes directly support course management.
SkyCascade__SkyLearn::random_code_same_budget::deepseek-v4-pro::2,SkyCascade__SkyLearn,random_code_same_budget,deepseek-v4-pro,2,Lecturer,Assign Lecturers to Courses,A lecturer allocates a lecturer to teach a course and can edit or deallocate assignments.,"course/views.py (import CourseAllocationForm, CourseAllocationFilter) | course/urls.py (course_allocation, course_allocation_view, edit_allocated_course, course_deallocate)",Allocate courses to lecturers,0.5,0.25,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,Allocation routes/views directly support assigning lecturers to courses.,matched_supported_goal,high,True,True,False,Allocation routes/views directly support assigning lecturers to courses.,matched_supported_goal,high,True,True,False,Allocation routes/views directly support assigning lecturers to courses.
