repo,condition,model,pred_index,category,actor,name,description,evidence_paths,matched_gold,best_similarity,path_coverage
JacksonGao1999__StudentManagement,full_selected_context,deepseek-v4-pro,6,matched_supported_goal,Administrator,Batch Delete Students,The administrator deletes multiple selected students at once via a batch delete request.,student-crud/src/main/java/com/qizegao/controller/StudentController.java (batch delete endpoint inferred) | student-crud/src/main/java/com/qizegao/service/StudentService.java (deleteBatch method),Delete students,0.6667,0.5
JacksonGao1999__StudentManagement,full_selected_context,deepseek-v4-pro,7,implementation_level_goal,Administrator,List Departments,"The administrator retrieves all department names (e.g., for dropdown) via GET /depts.",student-crud/src/main/java/com/qizegao/controller/DepartmentController.java (getDepts method) | student-crud/src/main/java/com/qizegao/service/DepartmentService.java (getDepts method),List students with pagination,0.2,
JacksonGao1999__StudentManagement,oracle_upper_bound,deepseek-v4-pro,0,matched_goal_actor_label_drift,User,View Student List,User retrieves a paginated list of students with their details.,student-crud/src/main/java/com/qizegao/controller/StudentController.java -> /stus endpoint,View and update student,0.4,0.2
JacksonGao1999__StudentManagement,oracle_upper_bound,deepseek-v4-pro,1,matched_goal_actor_label_drift,User,Add Student,"User fills out a form to add a new student, with frontend and backend validation.",student-crud/src/main/java/com/qizegao/controller/StudentController.java -> /stu POST | student-crud/src/main/java/com/qizegao/bean/Student.java (validation annotations),Create student,0.3333,0.2
JacksonGao1999__StudentManagement,oracle_upper_bound,deepseek-v4-pro,2,actor_scope_error,User,Edit Student,User modifies an existing student's details and saves changes.,student-crud/src/main/java/com/qizegao/controller/StudentController.java -> /stu/{id} GET | student-crud/src/main/java/com/qizegao/service/StudentService.java updateStu(),Create student,0.3333,
JacksonGao1999__StudentManagement,oracle_upper_bound,deepseek-v4-pro,3,actor_scope_error,User,Delete Student,User removes a single student record.,student-crud/src/main/java/com/qizegao/controller/StudentController.java -> DELETE /stu/{id} (inferred) | student-crud/src/main/java/com/qizegao/service/StudentService.java deleteStu(),Delete students,0.3448,
JacksonGao1999__StudentManagement,oracle_upper_bound,deepseek-v4-pro,4,matched_goal_actor_label_drift,User,Batch Delete Students,User selects multiple students and deletes them in one operation.,student-crud/src/main/java/com/qizegao/service/StudentService.java deleteBatch() | student-crud/src/main/java/com/qizegao/controller/StudentController.java -> likely DELETE with ids parameter,Delete students,0.6667,0.5
JacksonGao1999__StudentManagement,oracle_upper_bound,deepseek-v4-pro,5,matched_goal_actor_label_drift,User,Check Student Name Availability,User verifies whether a student name is already taken before submission.,student-crud/src/main/java/com/qizegao/controller/StudentController.java -> /checkuser endpoint,Validate student name,0.4,0.3333
JacksonGao1999__StudentManagement,oracle_upper_bound,deepseek-v4-pro,6,actor_scope_error,User,View Student Details,User retrieves full information for a specific student by ID.,student-crud/src/main/java/com/qizegao/controller/StudentController.java -> /stu/{id} GET,View and update student,0.4,
JacksonGao1999__StudentManagement,oracle_upper_bound,deepseek-v4-pro,7,actor_scope_error,User,View Department List,User fetches the list of departments for selection when adding or editing a student.,student-crud/src/main/java/com/qizegao/controller/DepartmentController.java -> /depts endpoint,Load department options,0.25,
RameshMF__library-management-system,readme_only,deepseek-v4-pro,0,actor_scope_error,API Client,Manage Library Resources,An API client interacts with the Library Management REST API to perform operations on library resources such as books or members.,README.md,Manage book catalog,0.2,
RameshMF__library-management-system,readme_plus_code,deepseek-v4-pro,0,implementation_level_goal,Librarian,Add Book,A librarian adds a new book to the library catalog by providing its title and author.,src/main/java/net/javaguides/lms/controller/BookController.java (POST /api/books) | src/main/java/net/javaguides/lms/service/BookService.java (save),Register library user,0.3667,
RameshMF__library-management-system,readme_plus_code,deepseek-v4-pro,1,implementation_level_goal,Librarian,List All Books,Displays all books in the library catalog.,src/main/java/net/javaguides/lms/controller/BookController.java (GET /api/books),List library users,0.55,
RameshMF__library-management-system,readme_plus_code,deepseek-v4-pro,2,implementation_level_goal,Librarian,Update Book,"A librarian updates details of an existing book, such as its title or author.",src/main/java/net/javaguides/lms/controller/BookController.java (PUT /api/books/{id}) | src/main/java/net/javaguides/lms/service/BookService.java (save),Borrow book,0.3333,
RameshMF__library-management-system,readme_plus_code,deepseek-v4-pro,3,matched_supported_goal,Librarian,Delete Book,A librarian removes a book from the catalog.,src/main/java/net/javaguides/lms/controller/BookController.java (DELETE /api/books/{id}),Manage book catalog,0.3667,0.2
RameshMF__library-management-system,readme_plus_code,deepseek-v4-pro,4,matched_supported_goal,Librarian,Register User,A librarian registers a new library member by providing their name.,src/main/java/net/javaguides/lms/controller/UserController.java (POST /api/users) | src/main/java/net/javaguides/lms/service/UserService.java (save),Register library user,0.6667,0.75
RameshMF__library-management-system,readme_plus_code,deepseek-v4-pro,5,matched_supported_goal,Librarian,List All Users,Displays all registered library members.,src/main/java/net/javaguides/lms/controller/UserController.java (GET /api/users),List library users,0.6556,0.6667
RameshMF__library-management-system,readme_plus_code,deepseek-v4-pro,6,matched_goal_actor_label_drift,Member,Borrow Book,A library member borrows an available book.,src/main/java/net/javaguides/lms/controller/BookController.java (POST /api/books/{bookId}/borrow/{userId}) | src/main/java/net/javaguides/lms/service/BookService.java (borrowBook),Borrow book,1.0,0.6
RameshMF__library-management-system,readme_plus_code,deepseek-v4-pro,7,matched_goal_actor_label_drift,Member,Return Book,A library member returns a borrowed book.,src/main/java/net/javaguides/lms/controller/BookController.java (POST /api/books/{bookId}/return) | src/main/java/net/javaguides/lms/service/BookService.java (returnBook),Return book,1.0,0.75
RameshMF__library-management-system,random_code_same_budget,deepseek-v4-pro,0,matched_goal_missing_or_wrong_path,Librarian,Browse Books,Retrieve a list of all books in the library catalogue.,src/main/java/net/javaguides/lms/controller/BookController.java,List library users,0.4636,0.0
RameshMF__library-management-system,random_code_same_budget,deepseek-v4-pro,1,matched_supported_goal,Librarian,View Book Details,Retrieve full details of a specific book by its ID.,src/main/java/net/javaguides/lms/controller/BookController.java,View book detail,0.5,0.3333
RameshMF__library-management-system,random_code_same_budget,deepseek-v4-pro,2,implementation_level_goal,Librarian,Add New Book,Register a new book in the library catalogue.,src/main/java/net/javaguides/lms/controller/BookController.java,Register library user,0.4333,
RameshMF__library-management-system,random_code_same_budget,deepseek-v4-pro,3,implementation_level_goal,Librarian,Update Book,Modify the details of an existing book.,src/main/java/net/javaguides/lms/controller/BookController.java,Borrow book,0.3333,
RameshMF__library-management-system,random_code_same_budget,deepseek-v4-pro,4,matched_supported_goal,Librarian,Delete Book,Remove a book from the catalogue.,src/main/java/net/javaguides/lms/controller/BookController.java,Manage book catalog,0.3581,0.1
RameshMF__library-management-system,random_code_same_budget,deepseek-v4-pro,5,matched_supported_goal,Librarian,Borrow Book,Check out a book to a registered library user.,src/main/java/net/javaguides/lms/controller/BookController.java | src/main/java/net/javaguides/lms/service/BookService.java,Borrow book,1.0,0.4
RameshMF__library-management-system,random_code_same_budget,deepseek-v4-pro,6,matched_supported_goal,Librarian,Return Book,Process the return of a borrowed book.,src/main/java/net/javaguides/lms/controller/BookController.java | src/main/java/net/javaguides/lms/service/BookService.java,Return book,1.0,0.5
RameshMF__library-management-system,random_code_same_budget,deepseek-v4-pro,7,matched_supported_goal,Librarian,Register New User,Create a new library user account.,src/main/java/net/javaguides/lms/controller/UserController.java,Register library user,0.5167,0.25
RameshMF__library-management-system,full_selected_context,deepseek-v4-pro,0,matched_goal_missing_or_wrong_path,Librarian,View Books,Librarian retrieves a list of all books or a specific book's details.,/api/books (GET) | /api/books/{id} (GET) | BookController.getAllBooks() | BookController.getBook(),View book detail,0.3692,0.0
RameshMF__library-management-system,full_selected_context,deepseek-v4-pro,1,implementation_level_goal,Librarian,Add Book,Librarian adds a new book to the library catalog.,/api/books (POST) | BookController.addBook(),Register library user,0.3857,
RameshMF__library-management-system,full_selected_context,deepseek-v4-pro,2,implementation_level_goal,Librarian,Update Book,Librarian modifies an existing book's information.,/api/books/{id} (PUT) | BookController.updateBook(),Manage book catalog,0.3353,
RameshMF__library-management-system,full_selected_context,deepseek-v4-pro,3,matched_goal_missing_or_wrong_path,Librarian,Delete Book,Librarian removes a book from the catalog.,/api/books/{id} (DELETE) | BookController.deleteBook(),Manage book catalog,0.3903,0.0
RameshMF__library-management-system,full_selected_context,deepseek-v4-pro,4,matched_goal_missing_or_wrong_path,Librarian,View Users,Librarian retrieves a list of all library users.,/api/users (GET) | UserController.getAllUsers(),List library users,0.6263,0.0
RameshMF__library-management-system,full_selected_context,deepseek-v4-pro,5,matched_goal_missing_or_wrong_path,Librarian,Add User,Librarian registers a new library user.,/api/users (POST) | UserController.addUser(),Register library user,0.5762,0.0
RameshMF__library-management-system,full_selected_context,deepseek-v4-pro,6,matched_goal_missing_or_wrong_path,Librarian,Borrow Book,Librarian records a book borrowing by a user.,/api/books/{bookId}/borrow/{userId} (POST) | BookController.borrowBook() | BookService.borrowBook(),Borrow book,1.0,0.0
RameshMF__library-management-system,full_selected_context,deepseek-v4-pro,7,matched_goal_missing_or_wrong_path,Librarian,Return Book,Librarian processes a book return.,/api/books/{bookId}/return (POST) | BookController.returnBook() | BookService.returnBook(),Return book,1.0,0.0
RameshMF__library-management-system,oracle_upper_bound,deepseek-v4-pro,0,implementation_level_goal,Librarian,List books,Librarian retrieves a list of all books in the library.,src/main/java/net/javaguides/lms/controller/BookController.java,List library users,0.4913,
RameshMF__library-management-system,oracle_upper_bound,deepseek-v4-pro,1,implementation_level_goal,Librarian,Add book,Librarian adds a new book to the library catalog.,src/main/java/net/javaguides/lms/controller/BookController.java | src/main/java/net/javaguides/lms/service/BookService.java | src/main/java/net/javaguides/lms/entity/Book.java,Borrow book,0.3333,
RameshMF__library-management-system,oracle_upper_bound,deepseek-v4-pro,2,matched_supported_goal,Librarian,Update book,Librarian modifies details of an existing book.,src/main/java/net/javaguides/lms/controller/BookController.java | src/main/java/net/javaguides/lms/service/BookService.java,Manage book catalog,0.3333,0.2
RameshMF__library-management-system,oracle_upper_bound,deepseek-v4-pro,3,implementation_level_goal,Librarian,Remove book,Librarian removes a book from the library catalog.,src/main/java/net/javaguides/lms/controller/BookController.java | src/main/java/net/javaguides/lms/service/BookService.java,Borrow book,0.3333,
RameshMF__library-management-system,oracle_upper_bound,deepseek-v4-pro,4,matched_supported_goal,Librarian,Borrow book,Librarian records that a user has borrowed a book.,src/main/java/net/javaguides/lms/controller/BookController.java | src/main/java/net/javaguides/lms/service/BookService.java | src/main/java/net/javaguides/lms/entity/Book.java | src/main/java/net/javaguides/lms/entity...,Borrow book,1.0,0.8
RameshMF__library-management-system,oracle_upper_bound,deepseek-v4-pro,5,matched_supported_goal,Librarian,Return book,Librarian records the return of a borrowed book.,src/main/java/net/javaguides/lms/controller/BookController.java | src/main/java/net/javaguides/lms/service/BookService.java | src/main/java/net/javaguides/lms/entity/Book.java,Return book,1.0,0.75
RameshMF__library-management-system,oracle_upper_bound,deepseek-v4-pro,6,matched_supported_goal,Librarian,List users,Librarian retrieves a list of all registered library users.,src/main/java/net/javaguides/lms/controller/UserController.java | src/main/java/net/javaguides/lms/service/UserService.java,List library users,0.6667,0.6667
RameshMF__library-management-system,oracle_upper_bound,deepseek-v4-pro,7,matched_supported_goal,Librarian,Add user,Librarian registers a new library user.,src/main/java/net/javaguides/lms/controller/UserController.java | src/main/java/net/javaguides/lms/service/UserService.java | src/main/java/net/javaguides/lms/entity/User.java,Register library user,0.4333,0.75
SkyCascade__SkyLearn,readme_only,deepseek-v4-pro,0,matched_goal_missing_or_wrong_path,Admin,Manage student and lecturer accounts,"Admin can add, update, and delete student and lecturer records in the system.",README.md,Manage profile and password,0.3,0.0
SkyCascade__SkyLearn,readme_only,deepseek-v4-pro,1,matched_supported_goal,Admin,Manage academic sessions and semesters,Admin manages the academic session/year and semester structures used throughout the system.,README.md,Manage news and events,0.6,0.1429
SkyCascade__SkyLearn,readme_only,deepseek-v4-pro,2,matched_supported_goal,Student,Add or drop courses,Student can self-enroll in or withdraw from available courses.,README.md,Register and drop courses,0.4,0.1429
SkyCascade__SkyLearn,readme_only,deepseek-v4-pro,3,matched_supported_goal,Lecturer,Submit student scores,"Lecturer enters scores for attendance, mid-term exam, final exam, and assignments, and the system calculates totals, averages, points, and grades automatically.",README.md,Submit student scores,1.0,0.1667
SkyCascade__SkyLearn,readme_only,deepseek-v4-pro,4,matched_supported_goal,Student,View assessment and grade results,"Student accesses personalized assessment result and grade result pages, seeing scores, grades, and comments per course.",README.md,View grade and assessment results,1.0,0.1667
SkyCascade__SkyLearn,readme_only,deepseek-v4-pro,5,matched_supported_goal,Student,Generate registration slip and grade result PDF,Student can generate downloadable PDFs of their registration slip and grade result.,README.md,Download registration form and result sheet,0.3,0.2
SkyCascade__SkyLearn,readme_only,deepseek-v4-pro,6,matched_supported_goal,Student,Take quiz and receive feedback,"Student completes a quiz with randomized multiple-choice or true/false questions, receives immediate or end-of-quiz feedback, and can review past scores and category success rates.",README.md,Take quiz and continue incomplete quiz,0.4286,0.1667
SkyCascade__SkyLearn,readme_only,deepseek-v4-pro,7,matched_supported_goal,Lecturer,Review and mark essay quiz answers,"Lecturer with view_sittings permission uses the marking page to filter completed quizzes by quiz or user, and marks essay question responses.",README.md,Review and mark quiz sittings,0.5714,0.1667
SkyCascade__SkyLearn,file_tree_only,deepseek-v4-pro,0,matched_supported_goal,Student,Register account,A new user creates a student or instructor account via the registration form.,accounts/views.py | accounts/forms.py | accounts/urls.py | accounts/models.py,Register account,1.0,0.6667
SkyCascade__SkyLearn,file_tree_only,deepseek-v4-pro,1,near_miss_or_partial_workflow,Student,Browse and enroll in course,"Student searches or browses available courses and enrolls, possibly through a payment step.",course/views.py | course/urls.py | payments/views.py | search/views.py,Pay through payment gateway,0.2277,
SkyCascade__SkyLearn,file_tree_only,deepseek-v4-pro,2,actor_scope_error,Instructor,Create course,"Instructor creates a new course with title, description, and settings.",course/views.py | course/forms.py | course/urls.py,Upload course documentation,0.25,
SkyCascade__SkyLearn,file_tree_only,deepseek-v4-pro,3,actor_scope_error,Instructor,Create quiz,Instructor creates a quiz with questions and answers for a course.,quiz/views.py | quiz/forms.py | quiz/urls.py | quiz/models.py,View quiz progress,0.25,
SkyCascade__SkyLearn,file_tree_only,deepseek-v4-pro,4,matched_supported_goal,Student,Take quiz,Student answers quiz questions and receives immediate or delayed results.,quiz/views.py | quiz/urls.py | result/views.py | result/urls.py,Take quiz and continue incomplete quiz,0.4,0.3333
SkyCascade__SkyLearn,file_tree_only,deepseek-v4-pro,5,matched_supported_goal,Student,View quiz results,Student reviews their score and possibly detailed answer feedback.,result/views.py | result/urls.py | result/models.py,View grade and assessment results,0.5,0.5
SkyCascade__SkyLearn,file_tree_only,deepseek-v4-pro,6,matched_goal_missing_or_wrong_path,Student,Search courses,User searches for courses by keyword and filters results.,search/views.py | search/urls.py | search/models.py,Manage courses,0.3727,0.0
SkyCascade__SkyLearn,file_tree_only,deepseek-v4-pro,7,implementation_level_goal,Admin,Manage platform content,"Admin uses the Django admin interface to manage users, courses, quizzes, and payments.",accounts/admin.py | course/admin.py | quiz/admin.py | payments/admin.py | result/admin.py | search/admin.py,Manage semesters,0.25,
SkyCascade__SkyLearn,readme_plus_code,deepseek-v4-pro,0,matched_supported_goal,Admin,View Dashboard Analytics,Admin views school demographic counts and recent activity logs on a restricted dashboard.,core/urls.py (dashboard/) | core/views.py (dashboard_view) | accounts/models.py,View admin dashboard analytics,0.75,0.6
SkyCascade__SkyLearn,readme_plus_code,deepseek-v4-pro,1,matched_supported_goal,Admin,Manage Student Accounts,"Admin adds, updates, or deletes student accounts through dedicated administration pages.","accounts/urls.py (student_list, add_student, student_edit, student_delete) | accounts/views.py (StudentListView, student_add_view, edit_student, delete_student)",Manage parents,0.3,0.4
SkyCascade__SkyLearn,readme_plus_code,deepseek-v4-pro,2,matched_goal_missing_or_wrong_path,Admin,Manage Lecturer Accounts,"Admin adds, updates, or deletes lecturer (staff) accounts.","accounts/urls.py (lecturer_list, add_lecturer, staff_edit, lecturer_delete) | accounts/views.py (staff_add_view, edit_staff, delete_staff)",Manage semesters,0.35,0.0
SkyCascade__SkyLearn,readme_plus_code,deepseek-v4-pro,3,matched_supported_goal,Lecturer,Submit Student Scores,"Lecturer enters attendance, mid exam, final exam, and assignment scores; the system automatically calculates totals, averages, points, and grades.","result/urls.py (manage-score/, manage-score/<id>/) | result/views.py (add_score, add_score_for) | result/models.py",Submit student scores,1.0,0.5
SkyCascade__SkyLearn,readme_plus_code,deepseek-v4-pro,4,matched_supported_goal,Student,Register or Drop Courses,Student adds courses to their schedule or drops previously registered courses.,"course/urls.py (course_registration, course_drop) | course/views.py",Register and drop courses,0.75,0.2857
SkyCascade__SkyLearn,readme_plus_code,deepseek-v4-pro,5,matched_supported_goal,Student,View Assessment and Grade Results,"Student views their semester-wise assessment results and final grade results, with an option to generate a PDF slip.","result/urls.py (grade/, assessment/, result/print/<id>/) | result/views.py (grade_result, assessment_result, result_sheet_pdf_view)",View grade and assessment results,1.0,0.3333
SkyCascade__SkyLearn,readme_plus_code,deepseek-v4-pro,6,matched_supported_goal,Lecturer,Create Quiz with Multiple-Choice,Lecturer creates a new quiz for a course and adds multiple-choice questions with answer options.,"quiz/urls.py (quiz_create, mc_create) | quiz/views.py (QuizCreateView, MCQuestionCreate) | quiz/forms.py (QuizAddForm, MCQuestionForm)",Create and manage quizzes,0.5,0.375
SkyCascade__SkyLearn,readme_plus_code,deepseek-v4-pro,7,matched_supported_goal,Student,Take Quiz and View Results,"Student takes a quiz with randomized question order, gets immediate feedback, and can review past attempts.","quiz/urls.py (quiz_take, quiz_progress) | quiz/views.py (QuizTake, QuizUserProgressView) | quiz/models.py (Sitting, Progress)",Take quiz and continue incomplete quiz,0.4286,0.5
SkyCascade__SkyLearn,random_code_same_budget,deepseek-v4-pro,0,matched_goal_missing_or_wrong_path,Lecturer,Manage Programs,"A lecturer creates, edits, deletes, and filters academic programs.","course/views.py (ProgramFilterView, program_add, program_edit, program_delete) | course/urls.py (programs, add_program, edit_program, program_delete)",Manage semesters,1.0,0.0
SkyCascade__SkyLearn,random_code_same_budget,deepseek-v4-pro,1,matched_goal_missing_or_wrong_path,Lecturer,Manage Courses,"A lecturer creates, edits, and deletes courses within a program.","course/urls.py (course_add, edit_course, delete_course)",Manage students,1.0,0.0
SkyCascade__SkyLearn,random_code_same_budget,deepseek-v4-pro,2,matched_supported_goal,Lecturer,Assign Lecturers to Courses,A lecturer allocates a lecturer to teach a course and can edit or deallocate assignments.,"course/views.py (import CourseAllocationForm, CourseAllocationFilter) | course/urls.py (course_allocation, course_allocation_view, edit_allocated_course, course_deallocate)",Allocate courses to lecturers,0.5,0.25
SkyCascade__SkyLearn,random_code_same_budget,deepseek-v4-pro,3,matched_supported_goal,Lecturer,Upload Course Documents,"A lecturer uploads, edits, or deletes documentation files for a course.","course/urls.py (upload_file_view, upload_file_edit, upload_file_delete) | course/views.py (import UploadFormFile)",Upload course documentation,0.66,0.2857
SkyCascade__SkyLearn,random_code_same_budget,deepseek-v4-pro,4,matched_supported_goal,Lecturer,Upload Video Tutorials,"A lecturer uploads, edits, or deletes video tutorials for a course.","course/urls.py (upload_video, upload_video_edit, upload_video_delete, video_single) | course/views.py (import UploadFormVideo, UploadVideo)",Upload course video tutorials,0.75,0.25
SkyCascade__SkyLearn,random_code_same_budget,deepseek-v4-pro,5,matched_supported_goal,Student,Enroll in Courses,A student registers for available courses and can drop a course or view their own course list.,"course/urls.py (course_registration, course_drop, user_course_list) | course/views.py (import student_required)",Manage courses,0.3333,0.2857
SkyCascade__SkyLearn,random_code_same_budget,deepseek-v4-pro,6,framework_or_boilerplate_noise,Student,View Program Details,"A student views program information, its courses, and total credits.","course/views.py (program_detail view, @login_required) | course/urls.py (program_detail)",Register and drop courses,0.2765,
SkyCascade__SkyLearn,random_code_same_budget,deepseek-v4-pro,7,matched_supported_goal,Student,Take Quiz,A student answers multiple-choice or essay questions and receives a progress/score.,"quiz/forms.py (QuestionForm, EssayForm, MCQuestionFormSet) | quiz/admin.py (Progress, Sitting models)",Take quiz and continue incomplete quiz,0.4,0.1667
SkyCascade__SkyLearn,full_selected_context,deepseek-v4-pro,0,matched_supported_goal,Admin,Manage student accounts,"Admin can create, update, and delete student profiles.","accounts/urls.py (student_add_view, edit_student, delete_student) | accounts/views.py (register view uses StudentAddForm) | README 'Admin manages students(Add, Update, Delete)",Manage students,0.3187,0.1818
SkyCascade__SkyLearn,full_selected_context,deepseek-v4-pro,1,matched_goal_missing_or_wrong_path,Admin,Manage lecturer accounts,"Admin can create, update, and delete lecturer (staff) accounts.","accounts/urls.py (staff_add_view, edit_staff, delete_staff) | README 'Admin manages lecturers(Add, Update, Delete)",Manage news and events,0.3759,0.0
SkyCascade__SkyLearn,full_selected_context,deepseek-v4-pro,2,matched_supported_goal,Admin,View dashboard analytics,"Admin views school demographics including student, lecturer, and gender counts.","core/urls.py (dashboard) | core/views.py (dashboard_view returns student_count, lecturer_count, gender counts, logs) | README 'Dashboard: School demographics and analytics. Restricted to only admins",View admin dashboard analytics,0.75,0.4
SkyCascade__SkyLearn,full_selected_context,deepseek-v4-pro,3,matched_goal_missing_or_wrong_path,Admin,Manage academic sessions and semesters,"Admin creates, updates, and deletes academic sessions and semesters.","core/urls.py (session_add, session_update, session_delete; semester_add, semester_update, semester_delete) | README 'Session/year and semester management",Manage profile and password,0.6,0.0
SkyCascade__SkyLearn,full_selected_context,deepseek-v4-pro,4,matched_supported_goal,Lecturer,Submit student scores,"Lecturer enters attendance, mid exam, final exam, and assignment scores for students in allocated courses for the current semester.","result/urls.py (add_score, add_score_for) | result/views.py (add_score, add_score_for with lecturer_required and current semester logic) | README 'Lecturers submit students' scores: Attendance, Mid exam, Final exam, a...",Submit student scores,1.0,0.3333
SkyCascade__SkyLearn,full_selected_context,deepseek-v4-pro,5,matched_supported_goal,Lecturer,Upload course materials,Lecturer uploads video tutorials and documentation files for a specific course.,"course/urls.py (handle_file_upload, handle_video_upload, handle_file_edit, handle_video_edit, handle_file_delete, handle_video_delete) | README 'Upload video and documentation for each course",Upload course documentation,0.5,0.1429
SkyCascade__SkyLearn,full_selected_context,deepseek-v4-pro,6,matched_supported_goal,Student,Enroll in and drop courses,Student adds desired courses to their registration and drops previously added courses.,"course/urls.py (course_registration, course_drop) | course/views.py (course_registration and course_drop views) | README 'Students can Add and Drop courses",Register and drop courses,0.6,0.2857
SkyCascade__SkyLearn,full_selected_context,deepseek-v4-pro,7,matched_supported_goal,Student,Take a quiz,"Student takes a quiz for a course, answering multiple-choice or true/false questions with randomization and the ability to resume.",quiz/urls.py (quiz_take) | quiz/views.py (QuizTake view) | README bullet points about quiz features,Take quiz and continue incomplete quiz,0.4,0.3333
SkyCascade__SkyLearn,oracle_upper_bound,deepseek-v4-pro,0,matched_supported_goal,Admin,View Dashboard,Admin views school demographics and analytics on a restricted dashboard.,core/urls.py: dashboard/ | core/views.py: dashboard_view (admin_required) | README.md: Dashboard feature,View admin dashboard analytics,0.5,0.6
SkyCascade__SkyLearn,oracle_upper_bound,deepseek-v4-pro,1,matched_supported_goal,User,View News and Events,Any logged-in user can view the list of news and events.,core/urls.py: home_view | core/views.py: home_view (NewsAndEvents.objects.all()) | README.md: News And Events feature,Manage news and events,0.6,0.4286
SkyCascade__SkyLearn,oracle_upper_bound,deepseek-v4-pro,2,matched_supported_goal,Admin,Manage Students,"Admin can add, update, and delete student accounts.","accounts/urls.py: student/add/, student/<int:pk>/edit/, students/<int:pk>/delete/ | accounts/views.py: student_add_view, edit_student, delete_student | README.md: Admin manages students",Manage semesters,1.0,0.125
SkyCascade__SkyLearn,oracle_upper_bound,deepseek-v4-pro,3,matched_supported_goal,Admin,Manage Lecturers,"Admin can add, update, and delete lecturer accounts.","accounts/urls.py: lecturer/add/, staff/<int:pk>/edit/, lecturers/<int:pk>/delete/ | accounts/views.py: staff_add_view, edit_staff, delete_staff | README.md: Admin manages lecturers",Manage students,1.0,0.2727
SkyCascade__SkyLearn,oracle_upper_bound,deepseek-v4-pro,4,matched_supported_goal,Student,Enroll in Courses,Student can add and drop courses for the active semester.,"course/urls.py: course/registration/, course/drop/ | course/views.py: course_registration, course_drop | README.md: Students can Add and Drop courses",Manage courses,0.403,0.2857
SkyCascade__SkyLearn,oracle_upper_bound,deepseek-v4-pro,5,matched_supported_goal,Lecturer,Submit Student Scores,"Lecturer enters attendance, assignment, mid-exam, and final-exam scores for students in allocated courses; the system automatically computes totals, grades, and comments.","result/urls.py: manage-score/, manage-score/<int:id>/ | result/views.py: add_score, add_score_for | result/models.py: TakenCourse with score fields and grade calculation | README.md: Lecturers submit students' scores....",Submit student scores,1.0,0.6667
SkyCascade__SkyLearn,oracle_upper_bound,deepseek-v4-pro,6,matched_supported_goal,Student,View Results,"Student can view assessment scores and final grade results for their enrolled courses, and optionally generate a PDF of the result sheet.","result/urls.py: assessment/, grade/, result/print/<int:id>/ | result/views.py: assessment_result, grade_result, result_sheet_pdf_view | README.md: Assessment result page, Grade result page, PDF generator for grade result",View grade and assessment results,0.4256,0.5
SkyCascade__SkyLearn,oracle_upper_bound,deepseek-v4-pro,7,matched_supported_goal,Lecturer,Manage Quiz,"Lecturer can create, update, and delete multiple‑choice quizzes for a course.","quiz/urls.py: quiz_create, quiz_update, quiz_delete, mc_create | quiz/views.py: QuizCreateView, QuizUpdateView, quiz_delete, MCQuestionCreate | README.md: Multiple choice question type, answers at end, etc.",Manage lecturers,0.4143,0.0909
abdulwahid880__School-Management-system-in-laravel-,readme_only,deepseek-v4-pro,0,readme_overgeneralization,Student,Make Payment,A student can pay school fees using Stripe from their account.,readme.md,View grades,0.2429,
abdulwahid880__School-Management-system-in-laravel-,readme_only,deepseek-v4-pro,1,readme_overgeneralization,Student,View Payment History,A student can view the history of their payment receipts.,readme.md,View grades,0.25,
abdulwahid880__School-Management-system-in-laravel-,readme_only,deepseek-v4-pro,2,matched_goal_missing_or_wrong_path,Admin,Import Users,An admin can import student and teacher data from an Excel file.,readme.md,Import and export users,0.5,0.0
abdulwahid880__School-Management-system-in-laravel-,readme_only,deepseek-v4-pro,3,matched_goal_missing_or_wrong_path,Admin,Export Users,"An admin can export user data (students, teachers) to an Excel file.",readme.md,Register school users,0.5,0.0
abdulwahid880__School-Management-system-in-laravel-,file_tree_only,deepseek-v4-pro,0,actor_scope_error,Visitor,Register User Account,"A visitor creates a new school management account with a role (student, teacher, etc.).",app/Http/Controllers/Auth/RegisterController.php | resources/views/auth/register.blade.php | app/Mail/SendWelcomeEmailToUser.php | app/Events/UserRegistered.php,Register school users,0.2,
abdulwahid880__School-Management-system-in-laravel-,file_tree_only,deepseek-v4-pro,1,actor_scope_error,Visitor,Authenticate User,A registered user logs into the system using credentials.,app/Http/Controllers/Auth/LoginController.php | resources/views/auth/login.blade.php | app/Http/Middleware/RedirectIfAuthenticated.php,Register school users,0.122,
abdulwahid880__School-Management-system-in-laravel-,file_tree_only,deepseek-v4-pro,2,matched_supported_goal,Teacher,Record Attendance,A teacher marks attendance for students in a given class section.,app/Http/Controllers/AttendanceController.php | app/Http/Requests/Attendance/StoreAttendanceRequest.php | app/Attendance.php | resources/views/attendance/attendance.blade.php,Take attendance,0.4077,0.25
abdulwahid880__School-Management-system-in-laravel-,file_tree_only,deepseek-v4-pro,3,matched_supported_goal,Teacher,Calculate and Publish Grades,A teacher records exam marks and calculates final grades using a configurable grading system.,app/Http/Controllers/ExamController.php | app/Http/Controllers/GradeController.php | app/Http/Controllers/GradesystemController.php | app/Http/Requests/Grade/CalculateMarksRequest.php | resources/views/gpa | resources...,Calculate and save grades,0.6,0.1111
